Formula,A,B,ARR_A,ARR_B,MPR_A,MPR_B,END_A,END_B,OF,t,BL_AB,BL_AX,BL_BX,ENR,r_A12,r_A6,r_B,EN_A,EN_B,R_A,IE_A,D_A,TC_A,VLC_A,MP_A,BP_A,CR_A,VR_A,AM_A,R_B,IE_B,D_B,TC_B,VLC_B,MP_B,BP_B,CR_B,VR_B,AM_B,Cubic,Hexagonal,Monoclinic,Orthorhombic,Tetragonal,Triclinic,Trigonal
AcRhO3,Ac,Rh,3.25,2.25,24.35614422,41.15158205,2.34,1.16,0.435714286,0.886521935,244.874684,185.507196,190.878896,0.577114428,1.12,1.12,0.61,1.1,2.28,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,135,720,12.41,100.0,9,2237.0,3968.0,125,195,102.9055,0,0,0,1,0,0,0
AcRuO3,Ac,Ru,3.25,2.266666667,24.35614422,47.9580574,2.34,1.24,0.442857143,0.882133212,245.8911,185.507196,191.861616,0.613861386,1.12,1.12,0.62,1.1,2.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,136,710,12.37,79.0,8,2607.0,4423.0,126,207,101.1,0,0,0,1,0,0,0
AcSbO3,Ac,Sb,3.25,2.316666667,24.35614422,16.62582781,2.34,1.39,0.485714286,0.856687062,239.918775,185.507196,185.826111,0.668269231,1.12,1.12,0.68,1.1,2.05,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,139,834,6.685,50.0,15,903.78,1860.0,120,206,121.76,0,0,0,1,0,0,0
AcScO3,Ac,Sc,3.25,2.7,24.35614422,33.37012509,2.34,2.08,0.535714286,0.828794925,267.993916,185.507196,213.610624,0.96744186,1.12,1.12,0.75,1.1,1.36,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,162,633,2.989,16.0,3,1814.0,3109.0,148,211,44.95591,1,0,0,1,0,0,0
AcSiO3,Ac,Si,3.25,1.966666667,24.35614422,31.03384842,2.34,1.54,0.285714286,0.989949494,230.9424,185.507196,176.786556,0.855555556,1.12,1.12,0.4,1.1,1.9,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,118,787,2.3296,140.0,4,1687.0,3538.0,111,210,28.085,1,0,0,0,1,0,0
AcSmO3,Ac,Sm,3.25,3.333333333,24.35614422,24.77924945,2.34,2.27,0.685714286,0.755046224,239.999559,185.507196,185.536239,0.961864407,1.12,1.12,0.96,1.1,1.17,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,200,545,7.52,79.0,2,1347.0,2067.0,120,229,150.4,0,0,0,1,0,0,0
AcSnO3,Ac,Sn,3.25,2.35,24.35614422,9.291390728,2.34,1.48,0.492857143,0.852588081,240.933436,185.507196,186.802864,0.708133971,1.12,1.12,0.69,1.1,1.96,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,141,709,7.287,60.0,14,505.08,2875.0,121,217,118.71,0,0,0,1,0,0,0
AcSrO3,Ac,Sr,3.25,4.15,24.35614422,19.31567329,2.34,2.49,0.842857143,0.690662437,240.997975,185.507196,186.441991,0.965116279,1.12,1.12,1.18,1.1,0.95,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,249,550,2.64,35.0,2,1050.0,1655.0,121,249,87.62,1,0,0,0,0,0,0
AcTaO3,Ac,Ta,3.25,2.433333333,24.35614422,60.52244297,2.34,1.94,0.485714286,0.856687062,239.9856,185.507196,185.661276,0.932692308,1.12,1.12,0.68,1.1,1.5,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,146,761,16.654,58.0,13,3290.0,5731.0,120,217,180.9479,0,0,0,1,0,0,0
AcTbO3,Ac,Tb,3.25,3.2,24.35614422,29.96688742,2.34,2.24,0.6,0.795495129,239.9991,185.507196,185.548416,1.0,1.12,1.12,0.84,1.1,1.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,192,566,8.229,400.0,5,1629.0,3503.0,120,221,158.92535,0,0,0,1,0,0,0
AcTcO3,Ac,Tc,3.25,2.283333333,24.35614422,44.70198675,2.34,1.54,0.428571429,0.890954544,245.9424,185.507196,191.786556,0.77,1.12,1.12,0.6,1.1,1.9,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,137,702,11.5,7.7,7,2430.0,4538.0,126,209,96.90636,0,0,0,1,0,0,0
AcTeO3,Ac,Te,3.25,2.216666667,24.35614422,13.29396615,2.34,1.34,0.55,0.821156262,239.91,185.507196,185.838396,0.617511521,1.12,1.12,0.77,1.1,2.1,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,133,869,6.232,0.52,16,722.66,1261.0,120,206,127.6,1,0,0,0,0,0,0
AcThO3,Ac,Th,3.25,3.0,24.35614422,37.21486387,2.34,2.14,0.671428571,0.761499611,239.9964,185.507196,185.587836,0.914529915,1.12,1.12,0.94,1.1,1.3,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,180,587,11.72,0.00943,6,2023.0,5061.0,120,237,232.038,1,0,0,0,0,0,0
AcTiO3,Ac,Ti,3.25,2.333333333,24.35614422,35.70640177,2.34,1.9,0.507142857,0.844506677,255.982576,185.507196,201.6751,0.900473934,1.12,1.12,0.71,1.1,1.54,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,140,659,4.54,22.0,4,1941.0,3560.0,136,187,47.867,1,0,0,1,0,0,0
AcTlO3,Ac,Tl,3.25,2.833333333,24.35614422,10.61442237,2.34,1.82,0.857142857,0.685349649,239.975664,185.507196,185.701884,0.7,1.12,1.12,1.2,1.1,1.62,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,170,589,11.85,100.0,5,577.0,1746.0,120,196,204.383,0,0,0,1,0,0,0
AcTmO3,Ac,Tm,3.25,3.133333333,24.35614422,33.44370861,2.34,2.19,0.685714286,0.755046224,239.997975,185.507196,185.568351,0.927966102,1.12,1.12,0.96,1.1,1.25,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,188,597,9.321,50.0,9,1818.0,2223.0,120,227,168.93422,0,0,0,1,0,0,0
AcUO3,Ac,U,3.25,2.916666667,24.35614422,25.90139809,2.34,2.06,0.607142857,0.791959595,239.992944,185.507196,185.618076,0.915555556,1.12,1.12,0.85,1.1,1.38,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,175,597,18.95,35.0,8,1408.0,4404.0,120,240,238.0289,1,0,0,0,0,0,0
AcVO3,Ac,V,3.25,2.233333333,24.35614422,40.15820456,2.34,1.81,0.457142857,0.873484847,244.974719,185.507196,190.705151,0.887254902,1.12,1.12,0.64,1.1,1.63,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,134,651,6.11,31.0,5,2183.0,3680.0,125,179,50.9415,1,0,0,1,0,0,0
AcWO3,Ac,W,3.25,2.316666667,24.35614422,67.9727741,2.34,1.08,0.45,0.877787728,239.857116,185.507196,185.895024,0.532019704,1.12,1.12,0.63,1.1,2.36,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,139,770,19.25,35.0,14,3695.0,5828.0,120,210,183.84,0,0,0,1,0,0,0
AcYbO3,Ac,Yb,3.25,3.083333333,24.35614422,20.08830022,2.34,2.34,0.678571429,0.758259187,240.0,185.507196,185.507196,0.995744681,1.12,1.12,0.95,1.1,1.1,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,185,603,6.965,0.52,10,1092.0,1469.0,120,242,173.05,0,0,0,1,0,0,0
AcYO3,Ac,Y,3.25,3.733333333,24.35614422,33.02060338,2.34,2.22,0.642857143,0.774743082,242.998704,185.507196,188.556444,0.965217391,1.12,1.12,0.9,1.1,1.22,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,224,600,4.469,17.0,3,1795.0,3618.0,123,219,88.90584,0,0,0,1,0,0,0
AcZnO3,Ac,Zn,3.25,2.316666667,24.35614422,12.74245769,2.34,1.79,0.528571429,0.832667798,241.972775,185.507196,187.711631,0.836448598,1.12,1.12,0.74,1.1,1.65,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,139,906,7.134,120.0,12,692.68,1180.0,122,139,65.4,0,0,0,1,0,0,0
AcZrO3,Ac,Zr,3.25,3.516666667,24.35614422,39.1464312,2.34,2.11,0.514285714,0.840523155,244.995239,185.507196,190.599311,0.995283019,1.12,1.12,0.72,1.1,1.33,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,211,640,6.506,23.0,4,2128.0,4682.0,125,186,91.22,0,0,0,1,0,0,0
Ag2O3,Ag,Ag,2.666666667,2.666666667,22.71762325,22.71762325,1.51,1.51,0.678571429,0.806402627,248.0,189.794791,189.794791,0.642553191,1.28,0.95,0.95,1.93,1.93,160,731,10.501,400.0,11,1234.93,2435.0,124,172,107.868,160,731,10.501,400.0,11,1234.93,2435.0,124,172,107.868,1,0,0,0,0,0,0
