Formula,crystal_system,A,B,ARR_A,ARR_B,MPR_A,MPR_B,END_A,END_B,OF,t,BL_AB,BL_AX,BL_BX,ENR,r_A12,r_A6,r_B,EN_A,EN_B,R_A,IE_A,D_A,TC_A,VLC_A,MP_A,BP_A,CR_A,VR_A,AM_A,R_B,IE_B,D_B,TC_B,VLC_B,MP_B,BP_B,CR_B,VR_B,AM_B
CdCaO3,Cubic,Cd,Ca,2.516666667,3.233333333,10.93119941,20.51140545,1.75,2.44,0.714285714,0.798441407,293.957151,188.724375,236.464176,1.016666667,1.31,0.95,1.0,1.69,1.0,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,194,590,1.54,200.0,2,1115.0,1757.0,171,231,40.08
CdCeO3,Cubic,Cd,Ce,2.516666667,3.3,10.93119941,19.70198675,1.75,2.32,0.621428571,0.844167126,242.970759,188.724375,185.515584,1.022026432,1.31,0.95,0.87,1.69,1.12,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,198,534,6.77,23.0,6,1071.0,3697.0,120,235,140.116
CdCoO3,Trigonal,Cd,Co,2.516666667,2.083333333,10.93119941,32.52391464,1.75,1.56,0.378571429,0.992880506,218.996751,188.724375,161.780976,0.808290155,1.31,0.95,0.53,1.69,1.88,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,125,760,8.86,100.0,9,1768.0,3200.0,96,192,58.93319
CdCoO3,Monoclinic,Cd,Co,2.516666667,2.083333333,10.93119941,32.52391464,1.75,1.56,0.378571429,0.992880506,218.996751,188.724375,161.780976,0.808290155,1.31,0.95,0.53,1.69,1.88,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,125,760,8.86,100.0,9,1768.0,3200.0,96,192,58.93319
CdCoO3,Orthorhombic,Cd,Co,2.516666667,2.083333333,10.93119941,32.52391464,1.75,1.56,0.378571429,0.992880506,218.996751,188.724375,161.780976,0.808290155,1.31,0.95,0.53,1.69,1.88,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,125,760,8.86,100.0,9,1768.0,3200.0,96,192,58.93319
CdCrO3,Orthorhombic,Cd,Cr,2.516666667,2.133333333,10.93119941,40.10301692,1.75,1.78,0.392857143,0.982697116,236.999919,188.724375,179.714844,0.912820513,1.31,0.95,0.55,1.69,1.66,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,128,653,7.15,94.0,6,2180.0,2944.0,114,189,51.996
CdCsO3,Cubic,Cd,Cs,2.516666667,4.966666667,10.93119941,5.548013245,1.75,2.65,1.192857143,0.624188722,242.9271,188.724375,185.367975,0.863192182,1.31,0.95,1.67,1.69,0.79,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,298,376,1.873,58.0,3,301.59,944.0,120,343,132.905452
CdCuO3,Orthorhombic,Cd,Cu,2.516666667,2.25,10.93119941,24.97737307,1.75,1.54,0.485714286,0.921278547,228.996031,188.724375,171.786556,0.740384615,1.31,0.95,0.68,1.69,1.9,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,135,745,8.96,400.0,11,1357.77,2835.0,106,140,63.55
CdDyO3,Cubic,Cd,Dy,2.516666667,3.133333333,10.93119941,30.99705666,1.75,2.22,0.707142857,0.801782166,242.980119,188.724375,185.556444,0.928870293,1.31,0.95,0.99,1.69,1.22,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,188,573,8.55,120.0,6,1685.0,2840.0,120,229,162.5
CdErO3,Cubic,Cd,Er,2.516666667,3.15,10.93119941,33.14937454,1.75,2.2,0.635714286,0.836794488,242.981775,188.724375,185.5644,0.96069869,1.31,0.95,0.89,1.69,1.24,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,189,589,9.066,60.0,8,1802.0,3141.0,120,235,167.26
CdEuO3,Orthorhombic,Cd,Eu,2.516666667,3.3,10.93119941,20.14348786,1.75,2.24,0.757142857,0.778967226,242.978391,188.724375,185.548416,0.910569106,1.31,0.95,1.06,1.69,1.2,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,198,547,5.243,100.0,3,1095.0,1802.0,120,233,151.964
CdFeO3,Monoclinic,Cd,Fe,2.516666667,2.1,10.93119941,33.31493745,1.75,1.61,0.421428571,0.962944411,221.998236,188.724375,164.766711,0.809045226,1.31,0.95,0.59,1.69,1.83,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,126,762,7.874,79.0,8,1811.0,3134.0,99,194,55.84
CdFeO3,Orthorhombic,Cd,Fe,2.516666667,2.1,10.93119941,33.31493745,1.75,1.61,0.421428571,0.962944411,221.998236,188.724375,164.766711,0.809045226,1.31,0.95,0.59,1.69,1.83,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,126,762,7.874,79.0,8,1811.0,3134.0,99,194,55.84
CdGaO3,Orthorhombic,Cd,Ga,2.516666667,2.25,10.93119941,5.572295806,1.75,1.63,0.442857143,0.948643256,244.998704,188.724375,187.760879,0.806930693,1.31,0.95,0.62,1.69,1.81,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,135,579,5.907,29.0,3,302.91,2477.0,122,187,69.723
CdGdO3,Cubic,Cd,Gd,2.516666667,3.216666667,10.93119941,29.17586461,1.75,2.24,0.671428571,0.818914264,242.978391,188.724375,185.548416,0.957264957,1.31,0.95,0.94,1.69,1.2,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,193,593,7.895,91.0,4,1586.0,3546.0,120,237,157.25
CdGeO3,Trigonal,Cd,Ge,2.516666667,2.033333333,10.93119941,22.28476821,1.75,1.43,0.378571429,0.992880506,242.990784,188.724375,185.815959,0.740932642,1.31,0.95,0.53,1.69,2.01,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,122,762,5.323,60.0,4,1211.4,3106.0,120,211,72.63
CdGeO3,Monoclinic,Cd,Ge,2.516666667,2.033333333,10.93119941,22.28476821,1.75,1.43,0.378571429,0.992880506,242.990784,188.724375,185.815959,0.740932642,1.31,0.95,0.53,1.69,2.01,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,122,762,5.323,60.0,4,1211.4,3106.0,120,211,72.63
CdGeO3,Cubic,Cd,Ge,2.516666667,2.033333333,10.93119941,22.28476821,1.75,1.43,0.378571429,0.992880506,242.990784,188.724375,185.815959,0.740932642,1.31,0.95,0.53,1.69,2.01,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,122,762,5.323,60.0,4,1211.4,3106.0,120,211,72.63
CdGeO3,Orthorhombic,Cd,Ge,2.516666667,2.033333333,10.93119941,22.28476821,1.75,1.43,0.378571429,0.992880506,242.990784,188.724375,185.815959,0.740932642,1.31,0.95,0.53,1.69,2.01,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,122,762,5.323,60.0,4,1211.4,3106.0,120,211,72.63
CdGeO3,Tetragonal,Cd,Ge,2.516666667,2.033333333,10.93119941,22.28476821,1.75,1.43,0.378571429,0.992880506,242.990784,188.724375,185.815959,0.740932642,1.31,0.95,0.53,1.69,2.01,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,122,762,5.323,60.0,4,1211.4,3106.0,120,211,72.63
CdHfO3,Trigonal,Cd,Hf,2.516666667,2.916666667,10.93119941,46.10007358,1.75,2.14,0.507142857,0.9081798,242.986311,188.724375,185.587836,1.014218009,1.31,0.95,0.71,1.69,1.3,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,175,658,13.31,0.00943,12,2506.0,4876.0,120,212,178.49
CdHgO3,Cubic,Cd,Hg,2.516666667,2.516666667,10.93119941,4.310522443,1.75,1.44,0.792857143,0.763449951,242.991351,188.724375,185.813376,0.573705179,1.31,0.95,1.11,1.69,2.0,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,151,1007,13.5336,79.0,4,234.32,629.88,120,209,200.59
CdHoO3,Cubic,Cd,Ho,2.516666667,3.166666667,10.93119941,32.13760118,1.75,2.21,0.642857143,0.833156251,242.980956,188.724375,185.560431,0.960869565,1.31,0.95,0.9,1.69,1.23,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,190,581,8.795,29.0,7,1747.0,2973.0,120,216,164.93033
CdInO3,Cubic,Cd,In,2.516666667,2.766666667,10.93119941,7.905629139,1.75,1.66,0.571428571,0.87102699,244.999271,188.724375,187.751996,0.754545455,1.31,0.95,0.8,1.69,1.78,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,166,558,7.31,29.0,13,429.75,2345.0,122,193,114.818
CdIrO3,Trigonal,Cd,Ir,2.516666667,2.266666667,10.93119941,50.01839588,1.75,1.24,0.45,0.943970136,242.976591,188.724375,185.861616,0.610837438,1.31,0.95,0.63,1.69,2.2,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,136,880,22.56,31.0,17,2719.0,4701.0,120,202,192.22
CdIrO3,Cubic,Cd,Ir,2.516666667,2.266666667,10.93119941,50.01839588,1.75,1.24,0.45,0.943970136,242.976591,188.724375,185.861616,0.610837438,1.31,0.95,0.63,1.69,2.2,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,136,880,22.56,31.0,17,2719.0,4701.0,120,202,192.22
CdIrO3,Orthorhombic,Cd,Ir,2.516666667,2.266666667,10.93119941,50.01839588,1.75,1.24,0.45,0.943970136,242.976591,188.724375,185.861616,0.610837438,1.31,0.95,0.63,1.69,2.2,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,136,880,22.56,31.0,17,2719.0,4701.0,120,202,192.22
CdKO3,Cubic,Cd,K,2.516666667,4.05,10.93119941,6.190765269,1.75,2.62,0.985714286,0.689301934,318.931879,188.724375,261.382204,0.942446043,1.31,0.95,1.38,1.69,0.82,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,243,419,0.862,140.0,1,336.53,1032.0,196,275,39.0983
CdLaO3,Cubic,Cd,La,2.516666667,3.25,10.93119941,21.90949227,1.75,2.34,0.735714286,0.788584106,242.968671,188.724375,185.507196,0.962962963,1.31,0.95,1.03,1.69,1.1,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,195,538,6.145,17.0,5,1191.0,3737.0,120,240,138.9055
CdLiO3,Cubic,Cd,Li,2.516666667,2.783333333,10.93119941,8.345290655,1.75,2.46,0.542857143,0.887157119,250.954631,188.724375,193.455356,1.138888889,1.31,0.95,0.76,1.69,0.98,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,167,520,0.534,84.8,1,453.65,1615.0,128,182,7.0
CdLuO3,Cubic,Cd,Lu,2.516666667,2.9,10.93119941,35.61442237,1.75,2.17,0.614285714,0.847902379,242.984124,188.724375,185.576199,0.960176991,1.31,0.95,0.86,1.69,1.27,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,174,523,9.84,0.12,11,1936.0,3675.0,120,221,174.9667
CdMgO3,Cubic,Cd,Mg,2.516666667,2.416666667,10.93119941,16.97939662,1.75,2.13,0.514285714,0.903895933,263.987004,188.724375,206.591679,1.004716981,1.31,0.95,0.72,1.69,1.31,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,145,738,1.738,190.0,2,923.0,1363.0,141,173,24.305
CdMnO3,Orthorhombic,Cd,Mn,2.516666667,2.116666667,10.93119941,27.94334069,1.75,1.89,0.378571429,0.992880506,225.998236,188.724375,168.678511,0.979274611,1.31,0.95,0.53,1.69,1.55,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,127,717,7.44,7.7,7,1519.0,2334.0,103,197,54.93804
CdMoO3,Trigonal,Cd,Mo,2.516666667,2.316666667,10.93119941,53.27446652,1.75,1.28,0.464285714,0.934760672,248.980119,188.724375,191.852544,0.624390244,1.31,0.95,0.65,1.69,2.16,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,139,684,10.22,94.0,6,2896.0,4912.0,126,209,95.95
CdNaO3,Cubic,Cd,Na,2.516666667,3.166666667,10.93119941,6.823951435,1.75,2.51,0.728571429,0.791842718,288.948016,188.724375,231.432991,1.037190083,1.31,0.95,1.02,1.69,0.93,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,190,496,0.971,85.0,1,370.95,1156.0,166,227,22.9897693
CdNbO3,Orthorhombic,Cd,Nb,2.516666667,2.433333333,10.93119941,50.58866814,1.75,1.84,0.485714286,0.921278547,247.999271,188.724375,190.695296,0.884615385,1.31,0.95,0.68,1.69,1.6,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,146,652,8.57,31.0,5,2750.0,5017.0,125,207,92.90637
CdNdO3,Cubic,Cd,Nd,2.516666667,3.333333333,10.93119941,23.80426784,1.75,2.3,0.7,0.805150999,242.972775,188.724375,185.5239,0.966386555,1.31,0.95,0.98,1.69,1.14,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,200,533,7.007,94.0,8,1294.0,3347.0,120,229,144.24
CdNiO3,Orthorhombic,Cd,Ni,2.516666667,2.066666667,10.93119941,31.78807947,1.75,1.53,0.342857143,1.019286903,220.995644,188.724375,163.789319,0.813829787,1.31,0.95,0.48,1.69,1.91,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,124,737,8.912,91.0,10,1728.0,3186.0,98,163,58.693
CdNpO3,Cubic,Cd,Np,2.516666667,2.916666667,10.93119941,16.86902134,1.75,2.08,0.614285714,0.847902379,242.990199,188.724375,185.610624,0.920353982,1.31,0.95,0.86,1.69,1.36,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,175,604,20.45,17.0,9,917.0,4175.0,120,221,237.048172
CdOsO3,Cubic,Cd,Os,2.516666667,2.283333333,10.93119941,60.81677704,1.75,1.24,0.407142857,0.972720496,242.976591,188.724375,185.861616,0.629441624,1.31,0.95,0.57,1.69,2.2,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,137,840,22.61,23.0,16,3306.0,5285.0,120,216,190.2
CdOsO3,Trigonal,Cd,Os,2.516666667,2.283333333,10.93119941,60.81677704,1.75,1.24,0.407142857,0.972720496,242.976591,188.724375,185.861616,0.629441624,1.31,0.95,0.57,1.69,2.2,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,137,840,22.61,23.0,16,3306.0,5285.0,120,216,190.2
CdPaO3,Trigonal,Cd,Pa,2.516666667,3.0,10.93119941,33.94039735,1.75,1.94,0.65,0.829549514,242.996751,188.724375,185.661276,0.83982684,1.31,0.95,0.91,1.69,1.5,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,180,568,15.37,58.0,7,1845.0,4026.0,120,243,231.03588
CdPbO3,Orthorhombic,Cd,Pb,2.516666667,2.916666667,10.93119941,11.04874908,1.75,1.11,0.557142857,0.879018063,242.963136,188.724375,185.889111,0.509174312,1.31,0.95,0.78,1.69,2.33,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,175,716,11.342,91.0,6,600.61,2022.0,120,202,207.0
CdPdO3,Orthorhombic,Cd,Pd,2.516666667,2.283333333,10.93119941,33.6285872,1.75,1.24,0.442857143,0.948643256,247.976591,188.724375,190.861616,0.613861386,1.31,0.95,0.62,1.69,2.2,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,137,804,12.02,91.0,10,1828.05,3236.0,125,163,106.42
CdPmO3,Cubic,Cd,Pm,2.516666667,3.35,10.93119941,24.19058131,1.75,2.31,0.692857143,0.80854826,242.971776,188.724375,185.519751,0.974683544,1.31,0.95,0.97,1.69,1.13,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,201,540,7.26,7.7,1,1315.0,3273.0,120,236,144.91276
CdPrO3,Cubic,Cd,Pr,2.516666667,3.333333333,10.93119941,22.1486387,1.75,2.31,0.607142857,0.851670834,242.971776,188.724375,185.519751,1.026666667,1.31,0.95,0.85,1.69,1.13,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,200,527,6.773,31.0,7,1204.0,3793.0,120,239,140.90766
CdPtO3,Orthorhombic,Cd,Pt,2.516666667,2.316666667,10.93119941,37.55610743,1.75,1.16,0.478571429,0.925729168,242.968671,188.724375,185.878896,0.560386473,1.31,0.95,0.67,1.69,2.28,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,139,870,21.46,94.0,18,2041.55,4098.0,120,209,195.08
CdPuO3,Orthorhombic,Cd,Pu,2.516666667,2.916666667,10.93119941,16.79543782,1.75,2.16,0.592857143,0.859309138,242.984871,188.724375,185.580096,0.968609865,1.31,0.95,0.83,1.69,1.28,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,175,585,19.84,23.0,10,913.0,3501.0,120,243,244.0642
CdRbO3,Cubic,Cd,Rb,2.516666667,5.05,10.93119941,5.747976453,1.75,2.62,1.085714286,0.656253211,239.931879,188.724375,182.382204,0.897260274,1.31,0.95,1.52,1.69,0.82,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,303,403,1.532,58.0,1,312.46,961.0,117,303,85.468
CdReO3,Trigonal,Cd,Re,2.516666667,2.283333333,10.93119941,63.63134658,1.75,1.54,0.45,0.943970136,242.996031,188.724375,185.786556,0.75862069,1.31,0.95,0.63,1.69,1.9,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,137,760,21.02,17.0,15,3459.0,5869.0,120,217,186.207
CdRhO3,Cubic,Cd,Rh,2.516666667,2.25,10.93119941,41.15158205,1.75,1.16,0.428571429,0.958129689,247.968671,188.724375,190.878896,0.58,1.31,0.95,0.6,1.69,2.28,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,135,720,12.41,100.0,9,2237.0,3968.0,125,195,102.9055
CdRhO3,Orthorhombic,Cd,Rh,2.516666667,2.25,10.93119941,41.15158205,1.75,1.16,0.428571429,0.958129689,247.968671,188.724375,190.878896,0.58,1.31,0.95,0.6,1.69,2.28,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,135,720,12.41,100.0,9,2237.0,3968.0,125,195,102.9055
CdRuO3,Cubic,Cd,Ru,2.516666667,2.266666667,10.93119941,47.9580574,1.75,1.24,0.442857143,0.948643256,248.976591,188.724375,191.861616,0.613861386,1.31,0.95,0.62,1.69,2.2,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,136,710,12.37,79.0,8,2607.0,4423.0,126,207,101.1
CdRuO3,Orthorhombic,Cd,Ru,2.516666667,2.266666667,10.93119941,47.9580574,1.75,1.24,0.442857143,0.948643256,248.976591,188.724375,191.861616,0.613861386,1.31,0.95,0.62,1.69,2.2,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,136,710,12.37,79.0,8,2607.0,4423.0,126,207,101.1
CdSbO3,Orthorhombic,Cd,Sb,2.516666667,2.316666667,10.93119941,16.62582781,1.75,1.39,0.485714286,0.921278547,242.988336,188.724375,185.826111,0.668269231,1.31,0.95,0.68,1.69,2.05,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,139,834,6.685,50.0,15,903.78,1860.0,120,206,121.76
CdScO3,Orthorhombic,Cd,Sc,2.516666667,2.7,10.93119941,33.37012509,1.75,2.08,0.535714286,0.891283431,270.990199,188.724375,213.610624,0.96744186,1.31,0.95,0.75,1.69,1.36,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,162,633,2.989,16.0,3,1814.0,3109.0,148,211,44.95591
CdSiO3,Monoclinic,Cd,Si,2.516666667,1.966666667,10.93119941,31.03384842,1.75,1.54,0.285714286,1.064588543,233.996031,188.724375,176.786556,0.855555556,1.31,0.95,0.4,1.69,1.9,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,118,787,2.3296,140.0,4,1687.0,3538.0,111,210,28.085
CdSiO3,Cubic,Cd,Si,2.516666667,1.966666667,10.93119941,31.03384842,1.75,1.54,0.285714286,1.064588543,233.996031,188.724375,176.786556,0.855555556,1.31,0.95,0.4,1.69,1.9,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,118,787,2.3296,140.0,4,1687.0,3538.0,111,210,28.085
CdSiO3,Orthorhombic,Cd,Si,2.516666667,1.966666667,10.93119941,31.03384842,1.75,1.54,0.285714286,1.064588543,233.996031,188.724375,176.786556,0.855555556,1.31,0.95,0.4,1.69,1.9,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,118,787,2.3296,140.0,4,1687.0,3538.0,111,210,28.085
CdSiO3,Tetragonal,Cd,Si,2.516666667,1.966666667,10.93119941,31.03384842,1.75,1.54,0.285714286,1.064588543,233.996031,188.724375,176.786556,0.855555556,1.31,0.95,0.4,1.69,1.9,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,118,787,2.3296,140.0,4,1687.0,3538.0,111,210,28.085
CdSmO3,Cubic,Cd,Sm,2.516666667,3.333333333,10.93119941,24.77924945,1.75,2.27,0.685714286,0.811974312,242.975664,188.724375,185.536239,0.961864407,1.31,0.95,0.96,1.69,1.17,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,200,545,7.52,79.0,2,1347.0,2067.0,120,229,150.4
CdSnO3,Monoclinic,Cd,Sn,2.516666667,2.35,10.93119941,9.291390728,1.75,1.48,0.492857143,0.916870515,243.993439,188.724375,186.802864,0.708133971,1.31,0.95,0.69,1.69,1.96,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,141,709,7.287,60.0,14,505.08,2875.0,121,217,118.71
CdSnO3,Trigonal,Cd,Sn,2.516666667,2.35,10.93119941,9.291390728,1.75,1.48,0.492857143,0.916870515,243.993439,188.724375,186.802864,0.708133971,1.31,0.95,0.69,1.69,1.96,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,141,709,7.287,60.0,14,505.08,2875.0,121,217,118.71
CdSnO3,Cubic,Cd,Sn,2.516666667,2.35,10.93119941,9.291390728,1.75,1.48,0.492857143,0.916870515,243.993439,188.724375,186.802864,0.708133971,1.31,0.95,0.69,1.69,1.96,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,141,709,7.287,60.0,14,505.08,2875.0,121,217,118.71
CdSnO3,Orthorhombic,Cd,Sn,2.516666667,2.35,10.93119941,9.291390728,1.75,1.48,0.492857143,0.916870515,243.993439,188.724375,186.802864,0.708133971,1.31,0.95,0.69,1.69,1.96,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,141,709,7.287,60.0,14,505.08,2875.0,121,217,118.71
CdSrO3,Orthorhombic,Cd,Sr,2.516666667,4.15,10.93119941,19.31567329,1.75,2.49,0.842857143,0.742736193,243.950716,188.724375,186.441991,0.965116279,1.31,0.95,1.18,1.69,0.95,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,249,550,2.64,35.0,2,1050.0,1655.0,121,249,87.62
CdTaO3,Trigonal,Cd,Ta,2.516666667,2.433333333,10.93119941,60.52244297,1.75,1.94,0.485714286,0.921278547,242.996751,188.724375,185.661276,0.932692308,1.31,0.95,0.68,1.69,1.5,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,146,761,16.654,58.0,13,3290.0,5731.0,120,217,180.9479
CdTbO3,Cubic,Cd,Tb,2.516666667,3.2,10.93119941,29.96688742,1.75,2.24,0.542857143,0.887157119,242.978391,188.724375,185.548416,1.037037037,1.31,0.95,0.76,1.69,1.2,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,192,566,8.229,400.0,5,1629.0,3503.0,120,221,158.92535
CdTcO3,Orthorhombic,Cd,Tc,2.516666667,2.283333333,10.93119941,44.70198675,1.75,1.54,0.428571429,0.958129689,248.996031,188.724375,191.786556,0.77,1.31,0.95,0.6,1.69,1.9,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,137,702,11.5,7.7,7,2430.0,4538.0,126,209,96.90636
CdTeO3,Monoclinic,Cd,Te,2.516666667,2.216666667,10.93119941,13.29396615,1.75,1.34,0.692857143,0.80854826,242.984871,188.724375,185.838396,0.565400844,1.31,0.95,0.97,1.69,2.1,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,133,869,6.232,0.52,16,722.66,1261.0,120,206,127.6
CdTeO3,Orthorhombic,Cd,Te,2.516666667,2.216666667,10.93119941,13.29396615,1.75,1.34,0.692857143,0.80854826,242.984871,188.724375,185.838396,0.565400844,1.31,0.95,0.97,1.69,2.1,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,133,869,6.232,0.52,16,722.66,1261.0,120,206,127.6
CdThO3,Cubic,Cd,Th,2.516666667,3.0,10.93119941,37.21486387,1.75,2.14,0.671428571,0.818914264,242.986311,188.724375,185.587836,0.914529915,1.31,0.95,0.94,1.69,1.3,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,180,587,11.72,0.00943,6,2023.0,5061.0,120,237,232.038
CdTiO3,Orthorhombic,Cd,Ti,2.516666667,2.333333333,10.93119941,35.70640177,1.75,1.9,0.435714286,0.953362874,258.997975,188.724375,201.6751,0.945273632,1.31,0.95,0.61,1.69,1.54,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,140,659,4.54,22.0,4,1941.0,3560.0,136,187,47.867
CdTlO3,Cubic,Cd,Tl,2.516666667,2.833333333,10.93119941,10.61442237,1.75,1.82,0.857142857,0.737022837,242.999559,188.724375,185.701884,0.7,1.31,0.95,1.2,1.69,1.62,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,170,589,11.85,100.0,5,577.0,1746.0,120,196,204.383
CdTmO3,Cubic,Cd,Tm,2.516666667,3.133333333,10.93119941,33.44370861,1.75,2.19,0.685714286,0.811974312,242.982576,188.724375,185.568351,0.927966102,1.31,0.95,0.96,1.69,1.25,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,188,597,9.321,50.0,9,1818.0,2223.0,120,227,168.93422
CdUO3,Orthorhombic,Cd,U,2.516666667,2.916666667,10.93119941,25.90139809,1.75,2.06,0.635714286,0.836794488,242.991351,188.724375,185.618076,0.899563319,1.31,0.95,0.89,1.69,1.38,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,175,597,18.95,35.0,8,1408.0,4404.0,120,240,238.0289
CdVO3,Orthorhombic,Cd,V,2.516666667,2.233333333,10.93119941,40.15820456,1.75,1.81,0.414285714,0.967807766,247.999676,188.724375,190.705151,0.914141414,1.31,0.95,0.58,1.69,1.63,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,134,651,6.11,31.0,5,2183.0,3680.0,125,179,50.9415
CdWO3,Cubic,Cd,W,2.516666667,2.316666667,10.93119941,67.9727741,1.75,1.08,0.471428571,0.930222999,242.959599,188.724375,185.895024,0.524271845,1.31,0.95,0.66,1.69,2.36,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,139,770,19.25,35.0,14,3695.0,5828.0,120,210,183.84
CdYbO3,Cubic,Cd,Yb,2.516666667,3.083333333,10.93119941,20.08830022,1.75,2.34,0.678571429,0.815429522,242.968671,188.724375,185.507196,0.995744681,1.31,0.95,0.95,1.69,1.1,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,185,603,6.965,0.52,10,1092.0,1469.0,120,242,173.05
CdYO3,Cubic,Cd,Y,2.516666667,3.733333333,10.93119941,33.02060338,1.75,2.22,0.642857143,0.833156251,245.980119,188.724375,188.556444,0.965217391,1.31,0.95,0.9,1.69,1.22,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,224,600,4.469,17.0,3,1795.0,3618.0,123,219,88.90584
CdZnO3,Orthorhombic,Cd,Zn,2.516666667,2.316666667,10.93119941,12.74245769,1.75,1.79,0.528571429,0.895448307,244.999856,188.724375,187.711631,0.836448598,1.31,0.95,0.74,1.69,1.65,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,139,906,7.134,120.0,12,692.68,1180.0,122,139,65.4
CdZrO3,Orthorhombic,Cd,Zr,2.516666667,3.516666667,10.93119941,39.1464312,1.75,2.11,0.514285714,0.903895933,247.988336,188.724375,190.599311,0.995283019,1.31,0.95,0.72,1.69,1.33,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41,211,640,6.506,23.0,4,2128.0,4682.0,125,186,91.22
